253.08,1.0
278.01,1.0
291.01,1.0
293.47,2.0
293.65,1.0
294.34,2.0
295.0,1.0
295.41,1.0
295.6,1.0
296.25,1.0
296.3,1.0
297.17,1.0
298.06,1.0
298.94,1.0
299.12,1.0
299.82,1.0
300.0,2.0
300.71,1.0
300.94,1.0
301.76,2.0
301.88,2.0
301.89,1.0
302.47,1.0
303.57,1.0
303.75,3.0
303.77,1.0
305.0,2.0
305.28,2.0
305.63,1.0
305.84,1.0
306.0,1.0
306.16,3.0
306.17,3.0
306.39,1.0
306.56,2.0
307.04,5.0
307.5,1.0
307.92,1.0
308.49,1.0
309.38,6.0
310.15,4.0
310.31,3.0
311.25,1.0
311.29,1.0
311.44,1.0
312.26,2.0
313.23,2.0
314.06,1.0
314.15,3.0
314.85,1.0
314.96,2.0
315.0,3.0
315.7,2.0
315.79,1.0
315.84,2.0
315.94,2.0
316.72,3.0
316.73,1.0
317.46,1.0
318.48,2.0
318.75,2.0
319.69,1.0
320.0,1.0
320.63,1.0
321.11,1.0
321.69,2.0
321.99,1.0
322.87,1.0
323.44,1.0
324.38,1.0
325.31,1.0
325.47,1.0
325.66,2.0
326.28,2.0
327.16,1.0
327.27,2.0
328.75,2.0
329.91,1.0
331.88,1.0
332.45,1.0
334.31,1.0
334.69,1.0
335.19,1.0
335.63,1.0
335.68,1.0
336.99,1.0
337.5,2.0
340.39,1.0
342.15,2.0
347.44,1.0
350.62,1.0
352.73,1.0
358.38,1.0
358.49,1.0
359.79,2.0
360.38,1.0
361.32,1.0
393.4,1.0
393.65,1.0
396.31,2.0
399.29,1.0
402.12,1.0
403.88,1.0
405.64,1.0
407.41,1.0
409.17,1.0
409.43,1.0
411.99,2.0
412.04,1.0
414.37,1.0
414.47,1.0
414.81,1.0
415.34,1.0
417.29,1.0
417.99,1.0
419.12,1.0
419.65,1.0
420.53,1.0
420.75,2.0
421.88,1.0
423.17,1.0
424.16,1.0
426.56,1.0
426.69,1.0
427.57,1.0
428.44,1.0
429.38,1.0
430.31,1.0
438.8,3.0
438.94,2.0
440.21,1.0
443.19,2.0
448.68,2.0
449.03,2.0
450.0,1.0
450.94,1.0
451.67,1.0
453.43,1.0
495.24,1.0
496.65,1.0
502.65,2.0
1272.9,1.0
1280.0,1.0
1392.9,1.0
1400.0,2.0
1407.1,1.0
1413.2,2.0
1460.3,2.0
1583.5,1.0
1587.3,3.0
1590.6,1.0
1600.0,2.0
1603.5,2.0
1612.7,1.0
1624.7,2.0
1625.4,3.0
1625.9,1.0
1638.1,8.0
1650.8,1.0
1663.5,5.0
1676.2,4.0
1688.9,2.0
1701.6,6.0
1714.3,7.0
1727.0,3.0
1739.7,2.0
1752.4,4.0
1866.7,1.0
1892.1,1.0
2005.3,2.0
2100.4,4.0
2324.7,2.0
